Title,Publish date,Category,Associated project name,Link to item,Type,Link to project page,Year,Project Status,pdf_url,local_path,status
Neoen - Victorian Big Battery - Lessons Learnt 3,14/01/2026,Battery storage,Neoen Victorian Big Battery (Moorabool) Retrofit,https://arena.gov.au/knowledge-bank/neoen-victorian-big-battery-lessons-learnt-3/,Lessons,https://arena.gov.au/projects/neoen-victorian-big-battery-moorabool/,2023,Past,https://arena.gov.au/assets/2026/01/Neoen-Victorian-Big-Battery-Lessons-Learnt-3.pdf,pdfs/Lessons/Neoen_-_Victorian_Big_Battery_-_Lessons_Learnt_3_cdfc1f.pdf,downloaded
Neoen - Western Downs BESS - Lessons Learnt Report 3,14/01/2026,"Battery storage, System security and reliability",Neoen Big Battery (Western Downs) Deployment Project,https://arena.gov.au/knowledge-bank/neoen-western-downs-bess-lessons-learnt-report-3/,Lessons,https://arena.gov.au/projects/neoen-big-battery-western-downs-deployment-project/,2023,Current,https://arena.gov.au/assets/2026/01/Neoen-Western-Downs-BESS-Lessons-Learnt-Report-3.pdf,pdfs/Lessons/Neoen_-_Western_Downs_BESS_-_Lessons_Learnt_Report_3_59b454.pdf,downloaded
Neoen - Blyth Battery - Lessons Learnt 3,14/01/2026,"Battery storage, System security and reliability",Neoen Big Battery (Blyth) Deployment Project,https://arena.gov.au/knowledge-bank/neoen-blyth-battery-lessons-learnt-3/,Lessons,https://arena.gov.au/projects/neoen-big-battery-blyth-deployment-project/,2023,Current,https://arena.gov.au/assets/2026/01/Neoen-Blyth-Battery-Lessons-Learnt-3.pdf,pdfs/Lessons/Neoen_-_Blyth_Battery_-_Lessons_Learnt_3_b6ee3f.pdf,downloaded
Maverick Solutions Development: Annual Knowledge Sharing Report 2025,7/01/2026,"Large-scale solar, Solar energy",5B - Scaling Manufacturing and Accelerating Maverick Solution Development,https://arena.gov.au/knowledge-bank/maverick-solutions-development-annual-knowledge-sharing-report-2025/,Reports,https://arena.gov.au/projects/5b-scaling-manufacturing-and-accelerating-maverick-solution-development/,2024,Current,https://arena.gov.au/assets/2026/01/Maverick-Solutions-Development_Annual_KS_Report_5B_2025.pdf,pdfs/Reports/Maverick_Solutions_Development__Annual_Knowledge_Sharing_Report_2025_78122a.pdf,downloaded
Luminous - Knowledge Share Public Report,7/01/2026,Large-scale solar,"Luminous Robotics - Scale for a Solar Future, Deployment",https://arena.gov.au/knowledge-bank/luminous-knowledge-share-public-report/,Reports,https://arena.gov.au/projects/luminous-robotics-scale-for-a-solar-future-deployment/,2025,Current,https://arena.gov.au/assets/2025/12/Luminous-Knowledge-Share-Public-Report.pdf,pdfs/Reports/Luminous_-_Knowledge_Share_Public_Report_7a789c.pdf,downloaded
ANU - De-risking large-scale Australian fine-ore hydrogen ironmaking - Core Research Interim Report,18/12/2025,Renewables for industry,ANU – De-risking large-scale Australian fine-ore hydrogen ironmaking,https://arena.gov.au/knowledge-bank/anu-de-risking-large-scale-australian-fine-ore-hydrogen-ironmaking-core-research-interim-report/,Reports,https://arena.gov.au/projects/anu-de-risking-large-scale-australian-fine-ore-hydrogen-ironmaking/,2024,Current,https://arena.gov.au/assets/2025/12/ANU-De-risking-large-scale-Australian-fine-ore-hydrogen-ironmaking-Core-Research-Interim-Report.pdf,pdfs/Reports/ANU_-_De-risking_large-scale_Australian_fine-ore_hydrogen_ironmaking_-_Core_Research_Interim_Report_60f254.pdf,downloaded
Edify - Darlington Point Energy Storage System - Flagship Report: System Strength Remediation,18/12/2025,Battery storage,Darlington Point Energy Storage System,https://arena.gov.au/knowledge-bank/edify-darlington-point-energy-storage-system-flagship-report-system-strength-remediation/,Reports,https://arena.gov.au/projects/darlington-point-energy-storage-system/,2022,Current,https://arena.gov.au/assets/2025/12/Edify-Darlington-Point-Energy-Storage-System-Flagship-Report-System-Strength-Remediation.pdf,pdfs/Reports/Edify_-_Darlington_Point_Energy_Storage_System_-_Flagship_Report__System_Strength_Remediation_79cc95.pdf,downloaded
Insights Spotlight: the NeoSmelt joint venture,17/12/2025,Renewables for industry,Project NeoSmelt,https://arena.gov.au/knowledge-bank/insights-spotlight-the-neosmelt-joint-venture/,Insights,https://arena.gov.au/projects/project-neosmelt/,2025,Current,https://arena.gov.au/assets/2025/12/FINAL-NeoSmelt-spotlight-interview-Clean-1.pdf,pdfs/Insights/Insights_Spotlight__the_NeoSmelt_joint_venture_884f71.pdf,downloaded
"UNSW, Blast furnace innovations: sustainable, low-carbon ironmaking project - Core Research Interim Report",17/12/2025,Renewables for industry,"UNSW - blast furnace innovations: sustainable, low-carbon ironmaking project",https://arena.gov.au/knowledge-bank/unsw-blast-furnace-innovations-sustainable-low-carbon-ironmaking-project-core-research-interim-report/,Reports,https://arena.gov.au/projects/unsw-blast-furnace-innovations-sustainable/,2024,Current,https://arena.gov.au/assets/2025/12/UNSW-–-blast-furnace-innovations-sustainable-low-carbon-ironmaking-project-Core-Research-Interim-Report.pdf,"pdfs/Reports/UNSW,_Blast_furnace_innovations__sustainable,_low-carbon_ironmaking_project_-_Core_Research_Interim_Report_36eb1a.pdf",downloaded
Project Edith Stage 3 Insights Report,12/12/2025,Distributed energy resources,,https://arena.gov.au/knowledge-bank/project-edith-stage-3-insights-report/,Insights,,,,https://arena.gov.au/assets/2025/12/Edith-Stage3-Insights.pdf,pdfs/Insights/Project_Edith_Stage_3_Insights_Report_801644.pdf,downloaded
Grid Oscillation Project - Milestone 4 Report,2/12/2025,System security and reliability,Monash Grid Oscillation Project (Study and Software Development),https://arena.gov.au/knowledge-bank/grid-oscillation-project-milestone-4-report/,Milestones,https://arena.gov.au/projects/monash-grid-oscillation-project-study-and-software-development/,2023,Past,https://arena.gov.au/assets/2025/12/Monash-University-Management-of-oscillations-in-Australias-National-Grid-Public-Final-Report.pdf,pdfs/Milestones/Grid_Oscillation_Project_-_Milestone_4_Report_d3979d.pdf,downloaded
Public Project Knowledge Sharing Report - Darlington Point Energy Storage System (DPESS),24/11/2025,Battery storage,Darlington Point Energy Storage System,https://arena.gov.au/knowledge-bank/public-project-knowledge-sharing-report-darlington-point-energy-storage-system-dpess/,Reports,https://arena.gov.au/projects/darlington-point-energy-storage-system/,2022,Current,https://arena.gov.au/assets/2025/11/Public-Project-Knowledge-Sharing-Report.pdf,pdfs/Reports/Public_Project_Knowledge_Sharing_Report_-_Darlington_Point_Energy_Storage_System_(DPESS)_6884c2.pdf,downloaded
ARENA Webinar - 2025 LCA Guidelines for Bioenergy Projects,21/11/2025,Bioenergy / Energy from waste,,https://arena.gov.au/knowledge-bank/arena-insights-lca-webinar/,Insights,,,,https://arena.gov.au/assets/2025/11/LCA_Webinar_Presentation.pdf,pdfs/Insights/ARENA_Webinar_-_2025_LCA_Guidelines_for_Bioenergy_Projects_74322c.pdf,downloaded
Toll Group - Project Truckvolt - Infrastructure Design Report,19/11/2025,Electric vehicles,Toll Group - Project Truckvolt,https://arena.gov.au/knowledge-bank/toll-group-project-truckvolt-infrastructure-design-report/,Reports,https://arena.gov.au/projects/toll-group-project-truckvolt/,2024,Current,https://arena.gov.au/assets/2025/11/Toll-Group-Project-Truckvolt-Infrastructure-Design-Report.pdf,pdfs/Reports/Toll_Group_-_Project_Truckvolt_-_Infrastructure_Design_Report_f331da.pdf,downloaded
Capral - Log Furnace Replacement - Technology and Equipment Report,13/11/2025,Renewables for industry,,https://arena.gov.au/knowledge-bank/capral-log-furnace-replacement-technology-and-equipment-report/,,,,,https://arena.gov.au/assets/2025/11/Capral-Log-Furnace-Replacement-Technology-and-Equipment-Report.pdf,pdfs/Other/Capral_-_Log_Furnace_Replacement_-_Technology_and_Equipment_Report_bf9fd1.pdf,downloaded
Toll Group - Project Truckvolt - Lessons Learnt Report,11/11/2025,Electric vehicles,Toll Group - Project Truckvolt,https://arena.gov.au/knowledge-bank/toll-group-project-truckvolt-lessons-learnt-report/,Lessons,https://arena.gov.au/projects/toll-group-project-truckvolt/,2024,Current,https://arena.gov.au/assets/2025/11/Toll-Group-Project-Truckvolt-Lessons-Learnt-Report-1.pdf,pdfs/Lessons/Toll_Group_-_Project_Truckvolt_-_Lessons_Learnt_Report_db1963.pdf,downloaded
Delorean - SA1 Biomethane Upgrading - Proof of Concept LCA (Public Summary),7/11/2025,Bioenergy / Energy from waste,Delorean - SA1 Biomethane Upgrading Project,https://arena.gov.au/knowledge-bank/delorean-sa1-biomethane-upgrading-proof-of-concept-lca-public-summary/,Reports,https://arena.gov.au/projects/delorean-sa1-biomethane-upgrading-project/,2025,Current,https://arena.gov.au/assets/2025/11/Delorean-SA1-Biomethane-Upgrading-Proof-of-Concept-LCA-Public-Summary.pdf,pdfs/Reports/Delorean_-_SA1_Biomethane_Upgrading_-_Proof_of_Concept_LCA_(Public_Summary)_26468d.pdf,downloaded
Licella - Project Swift - Lessons Learnt Report,7/11/2025,Bioenergy / Energy from waste,Licella - Project Swift - SAF from Sugarcane Residues Feasibility Study,https://arena.gov.au/knowledge-bank/licella-project-swift-lessons-learnt-report/,Lessons,https://arena.gov.au/projects/licella-project-swift-saf-from-sugarcane-residues-feasibility-study/,2025,Current,https://arena.gov.au/assets/2025/11/Licella-Project-Swift-Lessons-Learnt-Report.pdf,pdfs/Lessons/Licella_-_Project_Swift_-_Lessons_Learnt_Report_9227ad.pdf,downloaded
Amber Electric - Automating EV Charging in line with Wholesale Pricing - Lessons Learnt Report #3,6/11/2025,Electric vehicles,Amber - Automating EV Charging in line with Wholesale Pricing,https://arena.gov.au/knowledge-bank/amber-electric-automating-ev-charging-in-line-with-wholesale-pricing-lessons-learnt-report-3/,Lessons,https://arena.gov.au/projects/amber-automating-ev-charging-in-line-with-wholesale-pricing/,2024,Current,https://arena.gov.au/assets/2025/11/Amber-Electric-Automating-EV-Charging-in-line-with-Wholesale-Pricing-Lessons-Learnt-Report-3.pdf,pdfs/Lessons/Amber_Electric_-_Automating_EV_Charging_in_line_with_Wholesale_Pricing_-_Lessons_Learnt_Report_#3_785411.pdf,downloaded
HILT CRC - Upgrading Iron Ore for DRI Production Using Seawater Reverse Osmosis - Core Research Interim Report,30/10/2025,Renewables for industry,HILT CRC - upgrading iron ore for DRI production using seawater,https://arena.gov.au/knowledge-bank/hilt-crc-upgrading-iron-ore-for-dri-production-using-seawater-reverse-osmosis-core-research-interim-report/,Reports,https://arena.gov.au/projects/hilt-crc-upgrading-iron-ore-for-dri-production-using-seawater/,2024,Current,https://arena.gov.au/assets/2025/10/HILT-CRC-Upgrading-Ion-Ore-for-DRI-Production-Using-Seawater-Reverse-Osmosis-Core-Research-Interim-Report.pdf,pdfs/Reports/HILT_CRC_-_Upgrading_Iron_Ore_for_DRI_Production_Using_Seawater_Reverse_Osmosis_-_Core_Research_Interim_Report_ef5b58.pdf,downloaded
BlueScope - NeoSmelt - Lessons Learnt Report 1,21/10/2025,Renewables for industry,Project NeoSmelt,https://arena.gov.au/knowledge-bank/bluescope-neosmelt-lessons-learnt-report-1/,Lessons,https://arena.gov.au/projects/project-neosmelt/,2025,Current,https://arena.gov.au/assets/2025/10/Bluescope-NeoSmelt-Lessons-Learnt-Report-1.pdf,pdfs/Lessons/BlueScope_-_NeoSmelt_-_Lessons_Learnt_Report_1_d7332d.pdf,downloaded
Hysata - High-Efficiency &lsquo;Capillary-fed&rsquo; Electrolyser Pilot Project - Lessons Learnt Report September 2025,17/10/2025,Hydrogen energy,Hysata - High-Efficiency ‘Capillary-fed’ Electrolyser Pilot Project,https://arena.gov.au/knowledge-bank/hysata-high-efficiency-capillary-fed-electrolyser-pilot-project-lessons-learnt-report-september-2025/,Lessons,https://arena.gov.au/projects/high-efficiency-capillary-fed-electrolyser-pilot-project/,2023,Current,https://arena.gov.au/assets/2025/10/HyGATE-Lessons-learnt-July-2025.pdf,pdfs/Lessons/Hysata_-_High-Efficiency_&lsquo;Capillary-fed&rsquo;_Electrolyser_Pilot_Project_-_Lessons_Learnt_Report_September_2025_609e33.pdf,downloaded
Monash - Lowering cost of proton exchange water electrolysis Systems - Core Research Interim Report,17/10/2025,Hydrogen energy,Lowering the cost of proton exchange water electrolysis systems,https://arena.gov.au/knowledge-bank/monash-lowering-cost-of-proton-exchange-water-electrolysis-systems-core-research-interim-report/,Reports,https://arena.gov.au/projects/lowering-the-cost-of-proton-exchange-water-electrolysis-systems/,2024,Current,https://arena.gov.au/assets/2025/10/Monash-Lowering-cost-of-proton-exchange-water-electrolysis-Systems-Core-Research-Interim-Report.pdf,pdfs/Reports/Monash_-_Lowering_cost_of_proton_exchange_water_electrolysis_Systems_-_Core_Research_Interim_Report_d4df8c.pdf,downloaded
UNSW - Multiphase Electrolysers for Renewable Ammonia Production - Core Research Interim Report,17/10/2025,Hydrogen energy,Multiphase electrolysers for renewable ammonia production,https://arena.gov.au/knowledge-bank/unsw-multiphase-electrolysers-for-renewable-ammonia-production-core-research-interim-report/,Reports,https://arena.gov.au/projects/multiphase-electrolysers-for-renewable-ammonia-production/,2024,Current,https://arena.gov.au/assets/2025/10/UNSW-Multiphase-Electrolysers-for-Renewable-Ammonia-Production-Core-Research-Interim-Report.pdf,pdfs/Reports/UNSW_-_Multiphase_Electrolysers_for_Renewable_Ammonia_Production_-_Core_Research_Interim_Report_5f198b.pdf,downloaded
"MGA Thermal, Thermal Energy Storage Project",15/10/2025,"Geothermal energy, Renewables for industry",MGA Thermal Energy Storage Project,https://arena.gov.au/knowledge-bank/mga-thermal-thermal-energy-storage-project/,Reports,https://arena.gov.au/projects/mga-thermal-energy-storage-project/,2022,Past,https://arena.gov.au/assets/2025/10/MGA-Thermal-Thermal-Energy-Storage-Project-Final-Project-Knowledge-Sharing-Report.pdf,"pdfs/Reports/MGA_Thermal,_Thermal_Energy_Storage_Project_3e9d00.pdf",downloaded
"Insights from Freight Transport Electrification Across Port, Express Parcels & Last-Mile Deliveries",15/10/2025,Electric vehicles,,https://arena.gov.au/knowledge-bank/insights-from-freight-transport-electrification-across-port-express-parcels-last-mile-deliveries/,Reports,,,,https://arena.gov.au/assets/2025/10/Energeia-Insights-from-Freight-Transport-Electrification-Across-Port-Express-Parcels-Last-Mile-Deliveries.pdf,"pdfs/Reports/Insights_from_Freight_Transport_Electrification_Across_Port,_Express_Parcels_&_Last-Mile_Deliveries_a52254.pdf",downloaded
ARENA LCA Guidelines for Bioenergy Projects,13/10/2025,Bioenergy / Energy from waste,,https://arena.gov.au/knowledge-bank/arena-lca-guidelines-for-bioenergy-projects/,,,,,https://arena.gov.au/assets/2025/10/ARENA-LCA-Guidelines-FINAL-October2025.pdf,pdfs/Other/ARENA_LCA_Guidelines_for_Bioenergy_Projects_6b9d1b.pdf,downloaded
Hysata ' &lsquo;Capillary-fed&rsquo; Electrolyser Commercial-Scale Demonstration Project ' Lessons Learned Report September 2025,1/10/2025,Hydrogen energy,Hysata Capillary-fed’ Electrolyser Commercial-Scale Demonstration Project,https://arena.gov.au/knowledge-bank/hysata-capillary-fed-electrolyser-commercial-scale-demonstration-project-lessons-learned-report-september-2025/,Lessons,https://arena.gov.au/projects/hysata-capillary-fed-electrolyser-commercial-scale-demonstration-project/,2023,Current,https://arena.gov.au/assets/2025/09/ARP-Lessons-learnt-Q3-2025-report.pdf,pdfs/Lessons/Hysata_'_&lsquo;Capillary-fed&rsquo;_Electrolyser_Commercial-Scale_Demonstration_Project_'_Lessons_Learned_Report_Septem_1bf662.pdf,downloaded
Sunsolve ' Radiative heat loss from PV systems whitepaper,29/09/2025,Solar energy,PV Lighthouse - Accurate and Precise Solar Yield Modelling with SunSolve,https://arena.gov.au/knowledge-bank/sunsolve-radiative-heat-loss-from-pv-systems/,Reports,https://arena.gov.au/projects/pv-lighthouse-accurate-and-precise-solar-yield-modelling-with-sunsolve/,2024,Current,https://arena.gov.au/assets/2025/09/Sunsolve_Radiative_heat_loss_Whitepaper_2025.pdf,pdfs/Reports/Sunsolve_'_Radiative_heat_loss_from_PV_systems_whitepaper_635158.pdf,downloaded
RELA Land Assessment Tool Project - Interim Knowledge Sharing Report,23/09/2025,"Solar energy, Wind energy",RELA Land Assessment Tool Project,https://arena.gov.au/knowledge-bank/rela-land-assessment-tool-project-interim-knowledge-sharing-report/,Reports,https://arena.gov.au/projects/rela-land-assessment-tool-project/,2025,Current,https://arena.gov.au/assets/2025/09/RELA-Assess-2.0-Interim-Knowledge-Sharing-Report.pdf,pdfs/Reports/RELA_Land_Assessment_Tool_Project_-_Interim_Knowledge_Sharing_Report_47bf24.pdf,downloaded
"Hysata ' High temperature, ultra-high efficiency capillary-fed electrolysis project ' Core Research Interim Report",12/09/2025,Hydrogen energy,"High temperature, ultra-high efficiency capillary-fed electrolysis project",https://arena.gov.au/knowledge-bank/hysata-high-temperature-ultra-high-efficiency-capillary-fed-electrolysis-project-core-research-interim-report/,Reports,https://arena.gov.au/projects/high-temperature-ultra-high-efficiency-capillary-fed-electrolysis-project/,2024,Current,https://arena.gov.au/assets/2025/09/Hysata_High-temp-Ultra-high-Efficiency-Capillary-fed-Electrolysis-Project_Hysata-Core-Research-Interim-Report.pdf,"pdfs/Reports/Hysata_'_High_temperature,_ultra-high_efficiency_capillary-fed_electrolysis_project_'_Core_Research_Interim_Report_93ac7e.pdf",downloaded
Project Jupiter webinar: Project Jupiter WA&rsquo;s path to virtual power plants at scale,11/09/2025,Distributed energy resources,Project Jupiter,https://arena.gov.au/knowledge-bank/project-jupiter-webinar-project-jupiter-was-path-to-virtual-power-plants-at-scale/,Insights,https://arena.gov.au/projects/project-jupiter/,2025,Current,https://arena.gov.au/assets/2025/09/ARENA-Project-Jupiter-webinar-slides-Final.pdf,pdfs/Insights/Project_Jupiter_webinar__Project_Jupiter_WA&rsquo;s_path_to_virtual_power_plants_at_scale_63af38.pdf,downloaded
ARENA Community Battery Round 1 Pre-Deployment Challenges & Best Practice Report,9/09/2025,Battery storage,,https://arena.gov.au/knowledge-bank/arena-community-battery-round-1-pre-deployment-challenges-best-practice-report/,Reports,,,,https://arena.gov.au/assets/2025/09/ARENA-Community-Batteries-Round-1-Pre-Deployment-Challenges-Best-Practices-Report.pdf,pdfs/Reports/ARENA_Community_Battery_Round_1_Pre-Deployment_Challenges_&_Best_Practice_Report_d71ffd.pdf,downloaded
5B - Navigating the Challenges of Start-Up Commercialisation Report,2/09/2025,"Large-scale solar, Solar energy",5B - Scaling Manufacturing and Accelerating Maverick Solution Development,https://arena.gov.au/knowledge-bank/5b-navigating-the-challenges-of-start-up-commercialisation-report/,Reports,https://arena.gov.au/projects/5b-scaling-manufacturing-and-accelerating-maverick-solution-development/,2024,Current,https://arena.gov.au/assets/2025/03/5B_Navigating-the-challenges-of-Start-Up-Commercilisation-report.pdf,pdfs/Reports/5B_-_Navigating_the_Challenges_of_Start-Up_Commercialisation_Report_f82007.pdf,downloaded
Edify Energy - Darlington Point Energy Storage System - Operations Report #3,2/09/2025,Battery storage,Darlington Point Energy Storage System,https://arena.gov.au/knowledge-bank/edify-energy-darlington-point-energy-storage-system-operations-report-3/,Reports,https://arena.gov.au/projects/darlington-point-energy-storage-system/,2022,Current,https://arena.gov.au/assets/2025/09/Edify-Darlington-Point-Energy-Storage-System-Operations-Report-3.pdf,pdfs/Reports/Edify_Energy_-_Darlington_Point_Energy_Storage_System_-_Operations_Report_#3_e97332.pdf,downloaded
