Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"4 Pines Brewery Electrification",https://arena.gov.au/projects/4-pines-brewery-electrification/,,"The Project will upgrade the Recipient’s Brookvale brewing facility with electrification of all thermal loads, integration of heat recovery, and allow for full decommissioning of gas infrastructure from the brewing process.
",$1.77m,$3.85m,"4 Pines Brewing Company Wholesale Pty Limited","National Industrial Transformation Program",01/11/2025,"Brookvale, New South Wales","Flexigen Pty LtdAsahi Holdings (Australia) Pty Ltd",Current
"Li-S Energy Battery Cell Production Feasibility & Engineering Design Studies",https://arena.gov.au/projects/li-s-energy-battery-cell-production-feasibility-engineering-design-studies/,"Battery storage","Li-S Energy proposes to complete a two-stage project to establish a &#8220;shovel ready&#8221; plan for a commercial lithium sulphur battery cell manufacturing facility in Australia with up to 1GWh annual capacity. The project targets heavy EV, drone, aviation and defence markets, sectors that benefit most from the lightweight, high energy density, and safer characteristics of Li-S batteries.
",$7.86m,$15.72m,"Li-S Energy Limited","Advancing Renewables Program",01/10/2025,National,,Current
"Accelerating EV Adoption: Unlocking EVs for Strata Residents",https://arena.gov.au/projects/accelerating-ev-adoption-unlocking-evs-for-strata-residents/,"Electric vehicles","NOX Energy will install 1,956 load-managed, Intelligent Power Sockets (IPS), across at least 16 sites to support Level 1 BEV charging in existing strata buildings across Australia.
",$1.51m,$4.78m,"NOX Energy Pty Ltd","Driving the Nation Program",24/09/2025,Australia-wide,"Stratablox HENNY Wattblock MiMOR Electric Vehicle Council Australian National University",Current
"National Energy Public Key Infrastructure Project (NEPKI)",https://arena.gov.au/projects/national-energy-public-key-infrastructure-project-nepki/,"Distributed energy resources","To establish a national Public Key Infrastructure (PKI) service for the authentication of communications with Common Smart Inverter Profile Australia (CSIP-AUS).
",$3.68m,$7.35m,"Energy Networks Association Limited","Advancing Renewables Program",16/09/2025,Melbourne,"DeloitteKing & Wood MallesonsPKI Service Provider Procurement Underway",Current
"McCain - Heat Recovery & Process Heat Electrification utilising Mechanical Vapour Recompression (MVR)",https://arena.gov.au/projects/mccain-heat-recovery-process-heat-electrification-utilising-mechanical-vapour-recompression-mvr/,,"The project will design, install and commission a high pressure (HP) condensate recovery system and a fryer exhaust heat recovery system with mechanical vapour recompression (MVR) at the McCain potato processing site in Ballarat, Victoria, to reduce the site’s Natural gas usage by around 21% and lower its scope 1 emissions by approximately 5,900 tCO2e / year.
",$7.38m,$16.3m,"McCain Foods (Aust) Pty Ltd","Powering the Regions Industrial Transformation Stream",12/09/2025,"Ballarat, Victoria","Beca Pty Ltd De Kleijn Energy Consulting B.V.  Piller Blowers & Compressors Australia Pty Ltd Gestalt Engineers Pty Ltd",Current
"Blackmores Hot Water Heat Pump, Industrial Transformation Demonstration Project",https://arena.gov.au/projects/blackmores-hot-water-heat-pump-industrial-transformation-demonstration-project/,"Renewables for industry","Blackmores will design, install and commission a refrigerant heat pump and a hot water buffer tank at their Braeside, Victoria health supplement manufacturing facility to replace an existing natural gas boiler, which will reduce natural gas use by ~25% (~9,900GJ annually) and cut ~512 tCO2-e Scope 1 emissions at the Braeside facility.
",$724k,$1.45m,"Blackmores Group ","National Industrial Transformation Program",01/09/2025,Braeside,"2XE Pty LtdNorthmore Gordon Pty LtdGordon Brothers Industries Pty Ltd ",Current
"Relectrify More Energy Project",https://arena.gov.au/projects/relectrify-more-energy-project/,"Battery storage","Relectrify will deploy up to 100 MWh of its AC1 Product at various customer sites in Australia to accelerate product commercialisation.
",$25m,$61.1m,"Relectrify Pty Ltd","Advancing Renewables Program",15/08/2025,Melbourne,,Current
"Plug and Play Asset Based Destination Charging Project",https://arena.gov.au/projects/plug-and-play-asset-based-destination-charging-project/,"Electric vehicles","Essential Energy will accelerate the deployment of up to 1,300 kerbside charging points by readying existing power poles for charger installation and installing new streetlight columns with built-in EV chargers.
",$2.33m,$6.01m,"Essential Energy","Driving the Nation Program",01/08/2025,"Port Macquarie","Wagners Cft Manufacturing Pty Ltd (Wagners) ",Current
"Fortescue Solar Innovation Hub",https://arena.gov.au/projects/fortescue-solar-innovation-hub/,"Large-scale solar","Pilbara Energy (Generation) Pty Ltd (Recipient), a subsidiary of Fortescue Ltd (Fortescue), will partner with ARENA and emerging OEM’s to identify, trial and deploy a range of technical and commercial innovations to drive down the levelised cost of energy (LCOE) of solar PV in the Pilbara. The Project will develop a portfolio of innovations seeking to demonstrate LCOE reduction opportunities, and accelerated pathways towards commercial viability and large-scale deployment (Innovation Projects).
",$45m,$500m,"Pilbara Energy (Generation) Pty Ltd ","Advancing Renewables Program",01/08/2025,"Western Australia",,Current
"Mondo - Regional Battery Energy Storage Solutions - Elevated",https://arena.gov.au/projects/mondo-regional-battery-energy-storage-solutions-elevated/,,"The Project is deploying 27 behind-the-meter batteries in regional Victoria.
",$4.13m,$5.47m,"Mondo Metering Pty Ltd ","Community Batteries Funding Round 1",15/07/2025,,"Yarra Energy Foundation",Current
"Calix - ZESTY Green Iron Demonstration Plant",https://arena.gov.au/projects/calix-zesty-green-iron-demonstration-plant/,"Renewables for industry","Development of a hydrogen direct reduced iron (HDRI) / hot briquetted iron (HBI) demonstration plant using Calix’s Zero Emissions Steel Technology (ZESTY).
",$44.88m,$89.93m,"Calix Ltd","Advancing Renewables Program",01/07/2025,,"ZESTY Technology Pty Ltd",Current
"Tindo Mawson Lakes Facility Upgrade",https://arena.gov.au/projects/tindo-mawson-lakes-facility-upgrade/,"Solar energy","Tindo will scale-up the production of solar photovoltaic (PV) modules at its existing Mawson Lakes module manufacturing facility. Tindo will sell the solar PV modules produced in connection with this Project to the domestic solar market with potential for export sales. The Recipient’s product is currently marketed as a premium product to a segment of the market.
",$34.48m,$35.81m,"Tindo Group Holdings Pty Ltd","Solar Sunshot",01/07/2025,"Mawson Lakes, South Australia",,Current
"SunDrive Technology Development",https://arena.gov.au/projects/sundrive-technology-development/,"Solar PV R&amp;D","SunDrive will mature and commercialise its core copper plating metallisation technology through the design and development of an initial Concept Tool and will refine SunDrive’s process chemistry and integrate it into the Commercial Tool, developed in partnership with leading global equipment suppliers (Project).
",$25.33m,$53.18m,"SunDrive Solar Pty Ltd","Advancing Renewables Program",01/07/2025,"Kurnell, New South Wales","Suzhou Maxwell Technologies Co LtdJiangsu Vistar Equipment Technology Co Ltd",Current
"Gnarwarre BESS Project",https://arena.gov.au/projects/gnarwarre-bess-project/,"Battery storage","FRV will deliver a 250MW / 500MWh Battery Energy Storage System (BESS) at Gnarwarre, Victoria that will be commissioned with grid-forming functionality enabled.
",$15m,$351m,"Gnarwarre BESS Asset Co Pty Ltd ",,01/07/2025,Victoria,,Current
"Lab 360 Solar - Daylight Photoluminescence Imaging Development",https://arena.gov.au/projects/lab-360-solar-daylight-photoluminescence-imaging-development/,"Solar PV R&amp;D","Lab360 is developing and trialling drone-based Daylight Photoluminescence imaging technology to support efficient, large-scale solar farm monitoring and advanced defect detection.
",$3.96m,$7.91m,"Lab 360 Solar Pty Ltd","Advancing Renewables Program",01/07/2025,Sydney,"Solar Farm Partner",Current
"Nextracker - 100MW Pilot",https://arena.gov.au/projects/nextracker-ojjo-100mw-pilot/,"Large-scale solar","Nextracker will deploy its NX Earth Truss foundation solution across multiple solar farms, including the Goulburn River Solar Farm in New South Wales.
The project will demonstrate automated, large-scale solar foundation installation, aiming to reduce construction time, labour, and project risks, while generating data and best practices to accelerate adoption of integrated tracker and foundation systems across the industry.
",$4.96m,$20.11m,"Nextracker Australia Pty Ltd","Advancing Renewables Program",01/07/2025,Goulburn,,Current
"NEM Wide Community Battery Program",https://arena.gov.au/projects/nem-wide-community-battery-program/,"Battery storage","The Recipient will deploy 16 behind-the-meter (BTM) community batteries with a minimum aggregate capacity of 5.9 MW / 12.8 MWh, across regional and metro areas in New South Wales and Victoria
",$6.82m,$13.67m,"Next Green Group Pty Ltd","Advancing Renewables Program",13/06/2025,"New South Wales, Victoria","Cleantech Energy Solutions Pty LtdMicrogrid Power Pty Ltd PtyNext Business Energy Pty Ltd ",Current
"Interoperability Steering Committee and CSIP-AUS Testing and Certification Development Study",https://arena.gov.au/projects/interoperability-steering-committee-and-csip-aus-testing-and-certification-development-study/,"Distributed energy resources","The Project will update and implement the DER interoperability standard, Common Smart Inverter Profile – Australia (CSIP-AUS), and create a CSIP-AUS reference implementation and test harness for national harmonisation.
",$1.34m,$2.72m,"Australian National University (ANU)","Advancing Renewables Program",06/06/2025,"Acton, Australian Capital Territory","Energy Networks Australia (ENA)   SA Power Networks (SAPN)    Clean Energy Council (CEC)    Australian Energy Market Operator (AEMO)    Australian Energy Regulator (AER)    Australian Energy Market Commission (AEMC)    Australian Energy Council (AEC)    Department of Climate Change, Energy, Environment and Water (DCCEEW)    Standards Australia Limited (SA) ",Current
"SA DEM Remote Area Energy Supply Project",https://arena.gov.au/projects/sa-dem-remote-area-energy-supply-project/,"Distributed energy resources","Deploying renewable energy microgrids in remote South Australian First Nations communities to improve the reliability and sustainability of energy supplies.
",$13m,$27.65m,"South Australia Department for Energy & Mining","Regional Microgrids Program",13/05/2025,"Oak Valley, Pipalyatjara, South Australia, Yalata","Pipalyatjara Community Incorporated Aboriginal CorporationYalata Community Council IncOak Valley (Maralinga) Aboriginal Corporation ",Current
"Project NeoSmelt",https://arena.gov.au/projects/project-neosmelt/,"Renewables for industry","Feasibility study for the development of a pilot facility to test the direct reduced iron &#8211; electric smelting furnace (DRI-ESF) route for lower-carbon(1) emissions steelmaking(2).
",$19.82m,$48.85m,BlueScope,"Powering the Regions Industrial Transformation Stream",01/05/2025,"Kwinana, Western Australia","BHP Rio Tinto Woodside Mitsui Iron Ore Development",Current
"Energus - Australian Silicon Study",https://arena.gov.au/projects/energus-australian-silicon-study/,"Solar PV R&amp;D","Energus will establish a consortium to conduct a feasibility study for a polysilicon (Poly-Si) production facility of 10 – 40 GW in capacity that produces 50,000 tonnes of Poly-Si per annum.
",$1.4m,$2.81m,Energus,"Solar Sunshot",01/05/2025,"Muswellbrook, New South Wales",,Current
"Luminous Robotics - Scale for a Solar Future, Deployment",https://arena.gov.au/projects/luminous-robotics-scale-for-a-solar-future-deployment/,"Large-scale solar","Luminous Robotics will pilot its proprietary LUMI autonomous, flexible robot for solar module installation at two utility-scale solar farm sites in NSW and VIC. The project aims to reduce solar photovoltaic (PV) levelised cost of energy (LCOE) by up to 6.2% and enhance installation efficiencies by 3.5 times compared to traditional manual installation methods, supporting ARENA’s 30-30-30 vision for Ultra Low Cost Solar.
",$4.62m,$9.25m,"Luminous Robotics","Advancing Renewables Program",01/05/2025,"Culcairn, Goorambat, Sydney","Equans Solar & Storage Australia Pty Ltd (Bouygues Group)  Neoen Australia Pty Ltd Engie Renewables Australia Pty  Ltd",Current
"Papulankutja Hybrid Energy Solution",https://arena.gov.au/projects/papulankutja-hybrid-energy-solution/,"Battery storage","The Blackstone power station rebuild will act as a pilot to test a scalable hybrid renewable energy solution to accommodate remote communities evolving power needs. 
",$3.68m,$12.8m,"Horizon Power","Regional Microgrids Program",30/04/2025,"Blackstone, Western Australia","Ngaanyatjarra Essential ServicesNgaanyatjarra Council ",Current
"Ekistica - Homeland Energy Service Delivery Model Project",https://arena.gov.au/projects/ekistica-homeland-energy-service-delivery-model-project/,"Battery storage","Development of a collaborative and coordinated least-cost, highest value model for energy service delivery in First Nations homeland communities.  
",$1.4m,$1.8m,"Ekistica ","Regional Microgrids Program",07/04/2025,"Alice Springs, Northern Territory","Northern Territory Government of Australia  National Indigenous Australians Agency  Northern Land Council  Central Land Council  ",Current
"Solquartz - Townsville Green Polysilicon Feasibility Study",https://arena.gov.au/projects/solquartz-townsville-green-polysilicon-feasibility-study/,"Solar PV R&amp;D","Solquartz will undertake a Feasibility Study for a 100,000 tpa polysilicon production facility close to Townsville, Queensland. The Facility would purify metallurgical silicon (mg-Si) into solar grade polysilicon (poly-Si), and the Project will consider the ‘Siemens process’ as the base case technology choice.
",$5m,$10m,"Solquartz Pty Ltd ","Solar Sunshot",01/04/2025,"Calcium, Queensland",,Current
"Stellar PV - Project Clean Wafers - Feasibility Study",https://arena.gov.au/projects/stellar-pv-project-clean-wafers-feasibility-study/,"Solar PV R&amp;D","Stellar PV will undertake a Feasibility Study for a 2 GW silicon ingot pulling and wafering facility close to Townsville, Queensland. The Facility would use procured polysilicon to produce silicon ingots using the Czochralski method and then convert the ingots to silicon wafers.
",$4.7m,$8.1m,"Stellar PV ",,01/04/2025,Townsville,,Current
"UQ Control Design for Hybrid Renewables Study",https://arena.gov.au/projects/uq-control-design-for-hybrid-renewables-study/,"Hybrid technologies","The University of Queensland will develop an expanded hardware testing platform to improve the design, commissioning, and operations of Hybrid Renewable Power Plants (HRPPs).
",$877k,$1.99m,"The University of Queensland","Advancing Renewables Program",21/03/2025,"Queensland, St Lucia","EPEC Group Pty LtdQueensland Electricity Transmission Corporation Ltd (Powerlink)Australian Energy Market Operator LtdSMA Australia Pty Ltd ",Current
"Delorean - SA1 Biomethane Upgrading Project",https://arena.gov.au/projects/delorean-sa1-biomethane-upgrading-project/,"Bioenergy / Energy from waste","The SA1 Biomethane Upgrading Project will process commercial &amp; industrial (C&amp;I) food waste into biomethane for injection into the gas network and biogenic CO2 for commercial use. 
",$6.08m,$32.83m,"Delorean Corporation Ltd","National Industrial Transformation Program",01/03/2025,,"Delorean Energy SA One Pty Ltd   Biogass Renewables Pty Ltd    Australian Gas Networks Limited    Tanarra Restructuring Partners Pty Ltd ",Current
"BluVein Electric Heavy Haulage Project",https://arena.gov.au/projects/bluvein-electric-heavy-haulage-project/,"Electric vehicles","The project will trial a rail and hammer dynamic charging mechanism for heavy haulage mining BEVs.
",$9.06m,$18.11m,"Bluvein Pty Ltd","Powering the Regions Industrial Transformation Stream",01/03/2025,"Luscombe, Queensland","Canada Mining Innovation Council Heidelberg Materials Australia Group JTMEC  Northern Star Resources  OLITEK  South32",Current
"EVX - ChargeKonnect Kerbside EV Charging Project",https://arena.gov.au/projects/evx-chargekonnect-kerbside-ev-charging-project/,"Electric vehicles","EVX Australia Pty Ltd (EVX) will accelerate the development, manufacturing, and installation of 250 public battery electric vehicle (BEV) dual-port charging units mounted on kerbside poles (pole-chargers), as well as coordinate real-time reporting and flexible tariff structures with 5 Distributed Network Service Providers (DNSPs), and a Retail Service Provider. The pole-chargers will be deployed across various local government areas (LGAs) in NSW, VIC, and SA.
",$2.43m,$5.05m,"EVX Australia Pty Ltd","Driving the Nation Program",01/02/2025,,"Wevolt Pty Ltd University of Technology Sydney Institute for Sustainable Futures (UTS ISF)  Ausgrid Essential Energy Endeavour Energy SA Power Networks CitiPower Pty Ltd Powercor Australia Ltd United Energy Distribution Ausnet Flow Power  The Bright Group Pty Ltd",Current
"Project Jupiter",https://arena.gov.au/projects/project-jupiter/,"Distributed energy resources","Project Jupiter is accelerating the integration of distributed energy resources (DER) – including rooftop solar, and customer and community batteries – at scale into Western Australia’s main energy system, the South West Interconnected System (SWIS), enabling households and businesses to participate in virtual power plants (VPPs) and the energy transition.
",$20.8m,$108.34m,"Electricity Networks Corporation (Western Power) ","Advancing Renewables Program",01/02/2025,Perth,"SynergyAustralian Energy Market Operator (AEMO)WA Department of Energy and Economic Diversification (DEED)",Current
"Viva Energy SAF Infrastructure Solutions for the Future",https://arena.gov.au/projects/viva-energy-saf-infrastructure-solutions-for-the-future/,"Bioenergy / Energy from waste","Viva Energy will recondition an existing fuel tank and associated distribution infrastructure at their Pinkenba terminal to supply sustainable aviation fuel (SAF) to Brisbane Airport; and develop a book and claim system enabling customers to claim the environmental benefits of SAF without necessarily purchasing the physical fuel.
",$2.39m,$4.94m,"Viva Energy Australia","Advancing Renewables Program",01/02/2025,"Pinkenba, Queensland","Brisbane Airport CorporationVirgin Australia",Current
"RELA Land Assessment Tool Project",https://arena.gov.au/projects/rela-land-assessment-tool-project/,"Solar energy","RELA will develop and rollout a software solution that provides assessments of the renewable energy potential of land through an online portal.
",$500k,$1.2m,"RELA Australia Pty Ltd","Advancing Renewables Program",01/02/2025,"Mudgee, New South Wales",,Current
"VSPC Advanced Cathode Powder Manufacturing Demonstration Project",https://arena.gov.au/projects/vspc-advanced-cathode-powder-manufacturing-demonstration-project/,"Battery storage","VSPC will commercialise its advanced cathode powder manufacturing process by constructing a 250 tonne per annum (tpa) demonstration facility.
",$30m,$60.01m,"VSPC Pty Ltd","Advancing Renewables Program",01/02/2025,Queensland,"Lycopodium Ltd",Current
"South32 Steam Electrification",https://arena.gov.au/projects/south32-steam-electrification/,"Renewables for industry","Prefeasibility study of options for partial steam electrification at Worsley Alumina refinery using electric boilers (E-Boiler) and mechanical vapour recompression (MVR). 
",$4.36m,$8.72m,"South32 Worsley Alumina Pty Ltd","Powering the Regions Industrial Transformation Stream",01/02/2025,"Allanson, Western Australia",,Current
"Thomas Foods Murray Bridge Carbon Neutral Processing Facility Study",https://arena.gov.au/projects/thomas-foods-murray-bridge-carbon-neutral-processing-facility-study/,"Renewables for industry","The Recipient will undertake a Study to investigate the suitability of an integrated renewable energy, wastewater and waste management solution at the Murray Bridge beef and future lamb processing facility at Pallamana, South Australia.
",$401k,$802k,"Thomas Foods International Murray Bridge Pty Ltd (ABN 34 085 672 457) (TFI)  ","Industrial Energy Transformation Studies (IETS) Program",01/02/2025,"South Australia","Veolia Recycling and Recovery Pty Ltd",Past
"emPowering SA",https://arena.gov.au/projects/empowering-sa/,"Battery storage","The South Australian Department for Energy and Mining (DEM) is deploying community batteries across South Australia to lower energy prices for more than 10,000 low-income households.
",$10.87m,$27.95m,"South Australian Department for Energy and Mining","Community Batteries Funding Round 1",01/02/2025,"South Australia",,Current
"Licella - Project Swift - SAF from Sugarcane Residues Feasibility Study",https://arena.gov.au/projects/licella-project-swift-saf-from-sugarcane-residues-feasibility-study/,"Bioenergy / Energy from waste","Licella will complete Pre&#8211;Front End Engineering Design (Pre-FEED) and FEED studies to assess the viability of establishing a biorefinery facility utilising its patented Cat-HTR™ (Catalytic Hydrothermal Reactor) hydrothermal liquefaction (HTL) technology to convert sugar mill residues to low carbon liquid fuels (LCLF), including sustainable aviation fuel (SAF). 
",$8m,$26.12m,"Licella Holdings Limited","Advancing Renewables Program",01/02/2025,"Bundaberg, Queensland","Isis Central Sugar Mill Co LtdShell Global Solutions International B.V.  ",Current
"Fulcrum3D - Demonstrating the Next Generation of Remote Sensing",https://arena.gov.au/projects/fulcrum3d-demonstrating-the-next-generation-of-remote-sensing/,"Wind energy","Fulcrum3D is demonstrating the ‘Fulcrum3D RAS’ – the next generation of remote sensing. This project includes validation of the RAS against a state-of-the-art 200-metre wind monitoring mast. The mast will subsequently be available to the renewable energy and environmental science communities as a ‘National Remote Sensing Validation Facility’.
",$937k,$1.87m,"Fulcrum 3D ","Advancing Renewables Program",28/01/2025,"Artarmon, New South Wales",,Current
"Horizon Power Regional WA Community Battery Deployment Project",https://arena.gov.au/projects/horizon-power-regional-wa-community-battery-deployment-project/,"Battery storage","The Project is deploying 10 front-of-the-meter batteries with a combined capacity of 1MW/2.5MWh across the large geographical footprint of Western Australia in Esperance, Exmouth, and Carnarvon.
",$3.95m,$10.25m,"Horizon Power","Community Batteries Funding Round 1",01/01/2025,"Western Australia",,Current
"Western Power, Community Battery",https://arena.gov.au/projects/western-power-community-battery/,"Battery storage","The Recipient will deploy 18 community batteries in Western Australia throughout the South West Interconnected System including 13 low-voltage and 5 medium-voltage batteries connected to the distribution network.
",$9.34m,$19.95m,"Electricity Networks Corporation","Advancing Renewables Program",24/12/2024,"Western Australia","Electricity Generation and Retail Corporation (Synergy)",Current
"Endeavour Energy Network Area Community Battery Deployment",https://arena.gov.au/projects/endeavour-energy-network-area-community-battery-deployment/,"Battery storage","The Project will deploy 32 front-of-the-meter community batteries across the Endeavour Energy distribution network, with a minimum capacity of 3.4MW/8MWh.
",$6.72m,$14.65m,"Endeavour Energy","Community Batteries Funding Round 1",24/12/2024,"New South Wales","EnergyAustralia Pty Ltd",Current
"Mondo Power, Melbourne Electrified Freight Hub",https://arena.gov.au/projects/mondo-power-melbourne-electrified-freight-hub/,"Electric vehicles","Mondo will design, build and operate a greenfield charging hub (the Mondo Charging Hub &#8211; Laverton North) consisting of ultra-fast charging infrastructure, enabling the deployment of an initial 20 heavy battery electric trucks under charging services agreements with truck operators.
",$12.3m,$27.68m,"Mondo Power","Driving the Nation Program",19/12/2024,"Laverton North, Victoria",,Current
"Energy Queensland - Community Batteries Project",https://arena.gov.au/projects/energy-queensland-community-batteries-project/,"Battery storage","Energy Queensland will deploy 69 low voltage connected batteries at locations across Brisbane and regional south-east Queensland.
",$14.03m,$20.35m,"Energex Limited and Ergon Energy Corporation Limited, Energy Queensland Limited Companies ","Community Batteries Funding Round 1",01/12/2024,"Brisbane, Queensland",,Current
"Alinta ' Loy Yang B 'Stage 1' Synchronous Condenser Project",https://arena.gov.au/projects/alinta-loy-yang-b-stage-1-synchronous-condenser-project/,"System security and reliability","The Loy Yang B Synchronous Condenser project is a first of a kind project that aims to repurpose LYB’s spare generator stator and rotor, and spare generator transformer to provide essential system services as the percentage of inverter-based resources increases and synchronous generation reduces in the NEM.
",$2.23m,$5.36m,"Alinta Energy Development Pty Ltd ","Advancing Renewables Program",01/12/2024,"Loy Yang, Traralgon, Victoria",,Current
"5B - Scaling Manufacturing and Accelerating Maverick Solution Development",https://arena.gov.au/projects/5b-scaling-manufacturing-and-accelerating-maverick-solution-development/,"Large-scale solar","5B aims to scale its Australian manufacturing capacity and accelerate automation of its pre-fabricated, rapidly deployed, energy dense Maverick solar technology.
",$46m,$67.93m,5B,"Solar Sunshot",01/12/2024,"Mascot, New South Wales",,Current
"Gelion Advanced Commercial Prototyping Centre",https://arena.gov.au/projects/gelion-advanced-commercial-prototyping-centre/,"Battery storage","Gelion will construct an Advanced Commercial Prototyping Centre (ACPC) to produce and test a new generation of lithium batteries with sulphur-cathodes and validate with partners.
",$4.81m,$9.62m,"Gelion Technologies Pty Ltd ","Advancing Renewables Program",01/12/2024,"Eveleigh, New South Wales",,Current
